# Downloaded from http://eo1.usgs.gov/sensors/hyperioncoverage and cleaned up 2014-04-25
Hyperion Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)	Spatial Resolution (m)	Not Calibrated (X)
B1	355.5900	11.3871	30	X
B2	365.7600	11.3871	30	X
B3	375.9400	11.3871	30	X
B4	386.1100	11.3871	30	X
B5	396.2900	11.3871	30	X
B6	406.4600	11.3871	30	X
B7	416.6400	11.3871	30	X
B8	426.8200	11.3871	30	
B9	436.9900	11.3871	30	
B10	447.1700	11.3871	30	
B11	457.3400	11.3871	30	
B12	467.5200	11.3871	30	
B13	477.6900	11.3871	30	
B14	487.8700	11.3784	30	
B15	498.0400	11.3538	30	
B16	508.2200	11.3133	30	
B17	518.3900	11.2580	30	
B18	528.5700	11.1907	30	
B19	538.7400	11.1119	30	
B20	548.9200	11.0245	30	
B21	559.0900	10.9321	30	
B22	569.2700	10.8368	30	
B23	579.4500	10.7407	30	
B24	589.6200	10.6482	30	
B25	599.8000	10.5607	30	
B26	609.9700	10.4823	30	
B27	620.1500	10.4147	30	
B28	630.3200	10.3595	30	
B29	640.5000	10.3188	30	
B30	650.6700	10.2942	30	
B31	660.8500	10.2856	30	
B32	671.0200	10.2980	30	
B33	681.2000	10.3349	30	
B34	691.3700	10.3909	30	
B35	701.5500	10.4592	30	
B36	711.7200	10.5322	30	
B37	721.9000	10.6004	30	
B38	732.0700	10.6562	30	
B39	742.2500	10.6933	30	
B40	752.4300	10.7058	30	
B41	762.6000	10.7276	30	
B42	772.7800	10.7907	30	
B43	782.9500	10.8833	30	
B44	793.1300	10.9938	30	
B45	803.3000	11.1044	30	
B46	813.4800	11.1980	30	
B47	823.6500	11.2600	30	
B48	833.8300	11.2824	30	
B49	844.0000	11.2822	30	
B71	851.9200	11.0457	30	X
B50	854.1800	11.2816	30	
B72	862.0100	11.0457	30	X
B51	864.3500	11.2809	30	
B73	872.1000	11.0457	30	X
B52	874.5300	11.2797	30	
B74	882.1900	11.0457	30	X
B53	884.7000	11.2782	30	
B75	892.2800	11.0457	30	X
B54	894.8800	11.2771	30	
B76	902.3600	11.0457	30	X
B55	905.0500	11.2765	30	
B77	912.4500	11.0457	30	
B56	915.2300	11.2756	30	
B78	922.5400	11.0457	30	
B57	925.4100	11.2754	30	
B79	932.6400	11.0457	30	
B58	935.5800	11.2754	30	X
B80	942.7300	11.0457	30	
B59	945.7600	11.2754	30	X
B81	952.8200	11.0457	30	
B60	955.9300	11.2754	30	X
B82	962.9100	11.0457	30	
B61	966.1100	11.2754	30	X
B83	972.9900	11.0457	30	
B62	976.2800	11.2754	30	X
B84	983.0800	11.0457	30	
B63	986.4600	11.2754	30	X
B85	993.1700	11.0457	30	
B64	996.6300	11.2754	30	X
B86	1003.3000	11.0457	30	
B65	1006.8100	11.2754	30	X
B87	1013.3000	11.0457	30	
B66	1016.9800	11.2754	30	X
B88	1023.4000	11.0451	30	
B67	1027.1600	11.2754	30	X
B89	1033.4900	11.0423	30	
B68	1037.3300	11.2754	30	X
B90	1043.5900	11.0372	30	
B69	1047.5100	11.2754	30	X
B91	1053.6900	11.0302	30	
B70	1057.6800	11.2754	30	X
B92	1063.7900	11.0218	30	
B93	1073.8900	11.0122	30	
B94	1083.9900	11.0013	30	
B95	1094.0900	10.9871	30	
B96	1104.1900	10.9732	30	
B97	1114.1900	10.9572	30	
B98	1124.2800	10.9418	30	
B99	1134.3800	10.9248	30	
B100	1144.4800	10.9065	30	
B101	1154.5800	10.8884	30	
B102	1164.6800	10.8696	30	
B103	1174.7700	10.8513	30	
B104	1184.8700	10.8335	30	
B105	1194.9700	10.8154	30	
B106	1205.0700	10.7979	30	
B107	1215.1700	10.7822	30	
B108	1225.1700	10.7663	30	
B109	1235.2700	10.7520	30	
B110	1245.3600	10.7385	30	
B111	1255.4600	10.7270	30	
B112	1265.5600	10.7174	30	
B113	1275.6600	10.7091	30	
B114	1285.7600	10.7022	30	
B115	1295.8600	10.6970	30	
B116	1305.9600	10.6946	30	
B117	1316.0500	10.6937	30	
B118	1326.0500	10.6949	30	
B119	1336.1500	10.6996	30	
B120	1346.2500	10.7058	30	
B121	1356.3500	10.7163	30	
B122	1366.4500	10.7283	30	
B123	1376.5500	10.7437	30	
B124	1386.6500	10.7612	30	
B125	1396.7400	10.7807	30	
B126	1406.8400	10.8034	30	
B127	1416.9400	10.8267	30	
B128	1426.9400	10.8534	30	
B129	1437.0400	10.8818	30	
B130	1447.1400	10.9110	30	
B131	1457.2300	10.9422	30	
B132	1467.3300	10.9743	30	
B133	1477.4300	11.0074	30	
B134	1487.5300	11.0414	30	
B135	1497.6300	11.0759	30	
B136	1507.7300	11.1108	30	
B137	1517.8300	11.1461	30	
B138	1527.9200	11.1811	30	
B139	1537.9200	11.2156	30	
B140	1548.0200	11.2496	30	
B141	1558.1200	11.2826	30	
B142	1568.2200	11.3146	30	
B143	1578.3200	11.3460	30	
B144	1588.4200	11.3753	30	
B145	1598.5100	11.4037	30	
B146	1608.6100	11.4302	30	
B147	1618.7100	11.4538	30	
B148	1628.8100	11.4760	30	
B149	1638.8100	11.4958	30	
B150	1648.9000	11.5133	30	
B151	1659.0000	11.5286	30	
B152	1669.1000	11.5404	30	
B153	1679.2000	11.5505	30	
B154	1689.3000	11.5580	30	
B155	1699.4000	11.5621	30	
B156	1709.5000	11.5634	30	
B157	1719.6000	11.5617	30	
B158	1729.7000	11.5563	30	
B159	1739.7000	11.5477	30	
B160	1749.7900	11.5346	30	
B161	1759.8900	11.5193	30	
B162	1769.9900	11.5002	30	
B163	1780.0900	11.4789	30	
B164	1790.1900	11.4548	30	
B165	1800.2900	11.4279	30	
B166	1810.3800	11.3994	30	
B167	1820.4800	11.3688	30	
B168	1830.5800	11.3366	30	
B169	1840.5800	11.3036	30	
B170	1850.6800	11.2696	30	
B171	1860.7800	11.2363	30	
B172	1870.8700	11.2007	30	
B173	1880.9800	11.1666	30	
B174	1891.0700	11.1333	30	
B175	1901.1700	11.1018	30	
B176	1911.2700	11.0714	30	
B177	1921.3700	11.0424	30	
B178	1931.4700	11.0155	30	
B179	1941.5700	10.9912	30	
B180	1951.5700	10.9698	30	
B181	1961.6600	10.9508	30	
B182	1971.7600	10.9355	30	
B183	1981.8600	10.9230	30	
B184	1991.9600	10.9139	30	
B185	2002.0600	10.9083	30	
B186	2012.1500	10.9069	30	
B187	2022.2500	10.9057	30	
B188	2032.3500	10.9013	30	
B189	2042.4500	10.8951	30	
B190	2052.4500	10.8854	30	
B191	2062.5500	10.8740	30	
B192	2072.6500	10.8591	30	
B193	2082.7500	10.8429	30	
B194	2092.8400	10.8242	30	
B195	2102.9400	10.8039	30	
B196	2113.0400	10.7820	30	
B197	2123.1400	10.7592	30	
B198	2133.2400	10.7342	30	
B199	2143.3400	10.7092	30	
B200	2153.3400	10.6834	30	
B201	2163.4300	10.6572	30	
B202	2173.5300	10.6312	30	
B203	2183.6300	10.6052	30	
B204	2193.7300	10.5803	30	
B205	2203.8300	10.5560	30	
B206	2213.9300	10.5328	30	
B207	2224.0300	10.5101	30	
B208	2234.1200	10.4904	30	
B209	2244.2200	10.4722	30	
B210	2254.2200	10.4552	30	
B211	2264.3200	10.4408	30	
B212	2274.4200	10.4285	30	
B213	2284.5200	10.4197	30	
B214	2294.6100	10.4129	30	
B215	2304.7100	10.4088	30	
B216	2314.8100	10.4077	30	
B217	2324.9100	10.4077	30	
B218	2335.0100	10.4077	30	
B219	2345.1100	10.4077	30	
B220	2355.2100	10.4077	30	
B221	2365.2000	10.4077	30	
B222	2375.3000	10.4077	30	
B223	2385.4000	10.4077	30	
B224	2395.5000	10.4077	30	
B225	2405.6000	10.4077	30	X
B226	2415.7000	10.4077	30	X
B227	2425.8000	10.4077	30	X
B228	2435.8900	10.4077	30	X
B229	2445.9900	10.4077	30	X
B230	2456.0900	10.4077	30	X
B231	2466.0900	10.4077	30	X
B232	2476.1900	10.4077	30	X
B233	2486.2900	10.4077	30	X
B234	2496.3900	10.4077	30	X
B235	2506.4800	10.4077	30	X
B236	2516.5900	10.4077	30	X
B237	2526.6800	10.4077	30	X
B238	2536.7800	10.4077	30	X
B239	2546.8800	10.4077	30	X
B240	2556.9800	10.4077	30	X
B241	2566.9800	10.4077	30	X
B242	2577.0800	10.4077	30	X
